instrument_id,trade_date,as_of_ts,setup_id,setup_kind,side,filled,outcome,net_ticks,gross_ticks,entry_ts,exit_ts,hold_minutes
NR,2025-12-23,2025-12-23T12:00:00+03:00,NRH6:PULLBACK_LIMIT:SELL:3250,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
PT,2025-12-25,2025-12-25T10:30:00+03:00,PTH6:PULLBACK_LIMIT:BUY:22532,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-12-25,2025-12-25T12:00:00+03:00,PTH6:PULLBACK_LIMIT:BUY:22532,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
S1,2026-01-05,2026-01-05T10:30:00+03:00,S1H6:PULLBACK_LIMIT:BUY:7441,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
GD,2026-01-09,2026-01-09T10:30:00+03:00,GDH6:PULLBACK_LIMIT:BUY:44777,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
NR,2026-01-12,2026-01-12T10:30:00+03:00,NRH6:PULLBACK_LIMIT:SELL:2815,PULLBACK_LIMIT,SELL,True,SL,-8.5,-2.0,2026-01-12T10:40:00+03:00,2026-01-12T10:45:00+03:00,5.0
GD,2026-01-13,2026-01-13T10:30:00+03:00,GDH6:PULLBACK_LIMIT:BUY:46005,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
AN,2026-01-13,2026-01-13T12:00:00+03:00,ANH6:PULLBACK_LIMIT:BUY:6468,PULLBACK_LIMIT,BUY,True,TP,122.5,129.0,2026-01-13T12:35:00+03:00,2026-01-13T16:50:00+03:00,255.0
AN,2026-01-14,2026-01-14T10:30:00+03:00,ANH6:PULLBACK_LIMIT:BUY:6591,PULLBACK_LIMIT,BUY,True,SL,-68.5,-62.0,2026-01-14T10:35:00+03:00,2026-01-14T11:15:00+03:00,40.0
NC,2026-01-15,2026-01-15T10:30:00+03:00,NCH6:PULLBACK_LIMIT:BUY:3712,PULLBACK_LIMIT,BUY,True,SL,-14.5,-8.0,2026-01-15T10:35:00+03:00,2026-01-15T10:40:00+03:00,5.0
